length,subjects,memory_size,seed,total_players,total,shared,individual,rankings
100,10,15,226213340,10,1.1220999999999999,56.30999999999999,55.89999999999999,Player3>Player9>Player2>RandomPausePlayer>Player7>Player4>Player2>Unknown-9373d2>RandomPausePlayer>Unknown-a1ca41
100,10,15,175718912,10,1.5897000000000003,99.87,59.10000000000001,Player8>Player2>Unknown-dea547>Player9>Unknown-f07e1f>Player2>Player9>Player6>Player8>Player2
100,10,15,19769022,10,1.5902,106.01999999999998,53.00000000000002,Player8>Player6>Player8>Player3>Player9>Player6>RandomPausePlayer>Player2>Player2>Unknown-a94230
100,10,15,182994086,10,1.5468000000000004,97.73000000000002,56.95000000000001,Player6>Player7>Player4>Player2>Player6>Player9>Player1>Unknown-8d503f>RandomPausePlayer>Player1
100,10,15,121844580,10,1.4058999999999997,81.69,58.89999999999998,RandomPausePlayer>Player2>Player4>Player7>Player4>Unknown-dde5c4>Player1>Player8>Player9>RandomPlayer
100,10,15,56465856,10,1.3103000000000002,85.93,45.10000000000004,Player9>Player9>Player1>Unknown-cbd23b>Player3>Player1>Unknown-1c433b>Unknown-872b4d>RandomPausePlayer>Player2
100,10,15,485412052,10,1.1052,59.22,51.3,Unknown-700829>Player7>Unknown-3e011b>RandomPausePlayer>Player4>Unknown-46bebb>Unknown-da6ce5>Player2>RandomPausePlayer>Player7
100,10,15,500191580,10,1.6217000000000001,104.82,57.35000000000001,Player2>Player1>Player2>Player7>Player2>Player3>Unknown-761ed2>Player3>Player9>RandomPlayer
100,10,15,57236608,10,0.7925999999999999,24.359999999999992,54.900000000000006,Player4>RandomPausePlayer>Unknown-a7d488>Unknown-273019>Unknown-20c6ad>Player2>RandomPlayer>Player4>Unknown-e8a153>Unknown-151cfe
100,10,15,79972042,10,1.4153000000000002,85.63000000000001,55.90000000000001,Unknown-0e60c2>Player4>RandomPausePlayer>Player2>Player7>RandomPlayer>Player3>Player4>Player6>Player2
